Total time elapsed: 0.0060	Time updating: 0.0000	Time rendering: 0.0075	Time Sleeping: 0.0013	FPS: 49
Total time elapsed: 0.0101	Time updating: 0.0000	Time rendering: 0.0032	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0059	Time updating: 0.0001	Time rendering: 0.0096	Time Sleeping: 0.0013	FPS: 49
Total time elapsed: 0.0121	Time updating: 0.0001	Time rendering: 0.0078	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0110	Time updating: 0.0000	Time rendering: 0.0030	Time Sleeping: 0.0011	FPS: 49
Total time elapsed: 0.0089	Time updating: 0.0000	Time rendering: 0.0064	Time Sleeping: 0.0013	FPS: 49
Total time elapsed: 0.0091	Time updating: 0.0000	Time rendering: 0.0027	Time Sleeping: 0.0015	FPS: 49
Total time elapsed: 0.0068	Time updating: 0.0000	Time rendering: 0.0068	Time Sleeping: 0.0014	FPS: 49
Total time elapsed: 0.0095	Time updating: 0.0001	Time rendering: 0.0029	Time Sleeping: 0.0013	FPS: 49
Total time elapsed: 0.0100	Time updating: 0.0000	Time rendering: 0.0079	Time Sleeping: 0.0014	FPS: 49
Total time elapsed: 0.0104	Time updating: 0.0000	Time rendering: 0.0084	Time Sleeping: 0.0013	FPS: 49
Total time elapsed: 0.0108	Time updating: 0.0000	Time rendering: 0.0057	Time Sleeping: 0.0011	FPS: 49
Total time elapsed: 0.0079	Time updating: 0.0000	Time rendering: 0.0079	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0140	Time updating: 0.0000	Time rendering: 0.0068	Time Sleeping: 0.0013	FPS: 49
Total time elapsed: 0.0094	Time updating: 0.0000	Time rendering: 0.0028	Time Sleeping: 0.0014	FPS: 49
Total time elapsed: 0.0053	Time updating: 0.0000	Time rendering: 0.0029	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0060	Time updating: 0.0000	Time rendering: 0.0088	Time Sleeping: 0.0013	FPS: 49
Total time elapsed: 0.0112	Time updating: 0.0000	Time rendering: 0.0098	Time Sleeping: 0.0014	FPS: 49
Total time elapsed: 0.0127	Time updating: 0.0000	Time rendering: 0.0035	Time Sleeping: 0.0014	FPS: 49
Total time elapsed: 0.0061	Time updating: 0.0000	Time rendering: 0.0072	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0096	Time updating: 0.0000	Time rendering: 0.0031	Time Sleeping: 0.0014	FPS: 49
Total time elapsed: 0.0057	Time updating: 0.0000	Time rendering: 0.0035	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0061	Time updating: 0.0000	Time rendering: 0.0077	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0101	Time updating: 0.0000	Time rendering: 0.0027	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0054	Time updating: 0.0000	Time rendering: 0.0070	Time Sleeping: 0.0013	FPS: 49
Total time elapsed: 0.0093	Time updating: 0.0000	Time rendering: 0.0034	Time Sleeping: 0.0014	FPS: 49
Total time elapsed: 0.0061	Time updating: 0.0000	Time rendering: 0.0116	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0136	Time updating: 0.0000	Time rendering: 0.0027	Time Sleeping: 0.0011	FPS: 49
Total time elapsed: 0.0048	Time updating: 0.0000	Time rendering: 0.0072	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0098	Time updating: 0.0000	Time rendering: 0.0031	Time Sleeping: 0.0014	FPS: 49
